Symbol,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,ETF_Symbol,Sector_Number
MTZ,MasTec Inc.,Industrial Services,Engineering & Construction,Industrials,XLI,7
ROAD,Construction Partners Inc.,Industrial Services,Engineering & Construction,Industrials,XLI,7
STRL,Sterling Construction Company Inc.,Industrial Services,Engineering & Construction,Industrials,XLI,7
MDU,MDU Resources Group Inc.,Industrial Services,Engineering & Construction,Industrials,XLI,7
IESC,IES Holdings Inc.,Industrial Services,Engineering & Construction,Industrials,XLI,7
PRLB,Proto Labs Inc.,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
RXO,RXO Inc.,Transportation,Trucking,Industrials,XLI,7
JBLU,JetBlue Airways Corporation,Transportation,Airlines,Industrials,XLI,7
AAL,American Airlines Group Inc.,Transportation,Airlines,Industrials,XLI,7
SAVE,Spirit Airlines Inc.,Transportation,Airlines,Industrials,XLI,7
ALK,Alaska Air Group Inc.,Transportation,Airlines,Industrials,XLI,7
SKYW,SkyWest Inc.,Transportation,Airlines,Industrials,XLI,7
